amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	customized-url	customized-page 
114-8068775-1482655	114-8068775-1482655	2019-10-26T02:58:31+00:00	2019-10-26T21:27:14+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax 4 Pcs Children Wooden Jigsaw Pegged Puzzle Board Toy Educational and Learning Puzzles Toy - Number, Vegetable, Village and Animal"	MX-320-TO2122H334M1-FBA	B01N1EJHPZ		Shipped	1	USD	15.99	1.25							CHANDLER	AZ	85226-6082	US		Standard		
111-2584956-1969851	111-2584956-1969851	2019-10-26T02:50:30+00:00	2019-10-26T08:48:13+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax 10pcs Cute Animal Finger Puppets Set for Baby, Infant, Toddlers, Kids, Story Time, Shows, Playtime, Schools (10pcs)"	MX-PTO_01QAL1H0	B07BFTTK6X		Shipped	1	USD	7.99								GREEN BAY	WI	54302-2482	US		Standard		
111-8350317-9035420	111-8350317-9035420	2019-10-26T02:39:57+00:00	2019-10-26T02:44:41+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P2C8GH	B07J9WL1VY		Unshipped	1	USD	12.99								OREGON	WI	53575-2401	US		Standard		
114-9756290-1033844	114-9756290-1033844	2019-10-26T02:34:24+00:00	2019-10-26T05:22:01+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P24TRK	B079KFHHRC		Shipped	1	USD	12.84	1							San Diego	CA	92120	US		Standard		
114-8877703-4245011	114-8877703-4245011	2019-10-26T02:33:31+00:00	2019-10-26T10:23:14+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.89							INDIANOLA	WA	98342-9001	US		Standard		
111-5431611-6626615	111-5431611-6626615	2019-10-26T02:29:15+00:00	2019-10-26T18:56:32+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Wrist Rattles for Babies, 4 Pieces Baby Wrist Rattle and Foot Rattles Finder Socks Monkey and Elephant Toys Set (Purple)"	MX-PH2122AD2G67	B079KTJT3C		Shipped	1	USD	9.99								CHICAGO	ILLINOIS	60622-1047	US		Standard		
111-7689046-1593001	111-7689046-1593001	2019-10-26T02:28:18+00:00	2019-10-27T04:42:47+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Dentist kit, 15 Pcs Pretend Dentist Play Set Toy for Kids and Toddlers"	MX-PTO_01P2C8GH	B07J9WL1VY		Shipped	1	USD	12.99	0.78							GREENVILLE	SC	29609-2713	US		Standard		
112-4240617-1212214	112-4240617-1212214	2019-10-26T02:16:06+00:00	2019-10-28T03:23:42+00:00	Pending	Amazon	Amazon.com			SecondDay	"ThinkMax LED Mask Halloween, LED Light up Mask Purge for Festival Cosplay Halloween Costume Masquerade Parties (Blue)"	ZH-PTO_06ZD3L3V	B07VJNQV4T		Unshipped	1	USD	16.99								Queens Village	New York	11427	US		Standard		
114-1493000-5464240	114-1493000-5464240	2019-10-26T02:01:08+00:00	2019-10-27T19:44:29+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Baby Wrist Rattles, 8 Pcs Soft Animal Wrist Rattles and Foot Finders SockSet - Elephant, Monkey, Piggy and Puppy"	MX-PTO_023U2QWB	B07DC2R4XW		Shipped	1	USD	12.99								KENOSHA	WI	53142-4205	US		Standard		
112-1546876-0420256	112-1546876-0420256	2019-10-26T01:54:34+00:00	2019-10-26T10:29:30+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax RC Stunt Car for Kids, 360 Degree Spins Double Sided Driving, 2.4GHz 4WD Remote Control Car Toy Rechargeable with LED Headlights(Blue)"	ZH-PTO_07DJ1ZHK	B07WS8TDX6		Shipped	1	USD	24.99	1.78							W ST PAUL	MN	55118-5713	US		Standard		
112-7765579-4307409	112-7765579-4307409	2019-10-26T01:49:24+00:00	2019-10-26T09:46:05+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax LED Mask Halloween, LED Light up Mask Purge for Festival Cosplay Halloween Costume Masquerade Parties (Blue)"	ZH-PTO_06ZD3L3V	B07VJNQV4T		Shipped	1	USD	16.99								ADRIAN	MI	49221-3785	US		Standard		
113-5121585-6422622	113-5121585-6422622	2019-10-26T01:36:11+00:00	2019-10-27T02:26:40+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Halloween Spider Webs, 200 sqft Stretch Cobwebs with 24 Fake Spiders for Indoor Outdoor Halloween Decorations Party Supplies"	SZL-PTO_03BL8PI3	B07JB9NF24		Shipped	2	USD	15.98	0.28					12.78		TULSA	OK	74112-1903	US	Percentage Off 2019/10/24 1-18-36-335	Standard		
113-2885569-1307404	113-2885569-1307404	2019-10-26T01:13:09+00:00	2019-10-27T06:37:11+00:00	Shipped	Amazon	Amazon.com			Expedited	ThinkMax 24 Pack Mini Animal Plush Toy Assortment for Kids Party Favors	SZL-PTO_048OPIWZ	B07MM1K2PW		Shipped	1	USD	16.95	1.23							FRANKLIN FURNACE	OH	45629-9006	US		Standard		
112-9939755-1554644	112-9939755-1554644	2019-10-26T01:03:24+00:00	2019-10-26T05:26:39+00:00	Shipped	Amazon	Amazon.com			Standard	"ThinkMax RC Stunt Car for Kids, 360 Degree Spins Double Sided Driving, 2.4GHz 4WD Remote Control Car Toy Rechargeable with LED Headlights(Blue)"	ZH-PTO_07DJ1ZHK	B07WS8TDX6		Shipped	1	USD	24.99	1.87	4.27					4.27	LEWIS CENTER	OH	43035-6103	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	Standard		
112-3107814-6479404	112-3107814-6479404	2019-10-26T01:01:14+00:00	2019-10-26T08:33:57+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Kids Microphone Toy, Voice Changing and Recording Microphone with Colorful Light Musical Toys (Green)"	MX-326-TO21220E4447-FBA	B01N76O2E9		Shipped	1	USD	12.99								Columbia	Tennessee	38401	US		Standard		
113-0713601-2224236	113-0713601-2224236	2019-10-26T01:00:40+00:00	2019-10-26T01:01:34+00:00	Cancelled	Amazon	Amazon.com			SecondDay	"ThinkMax LED Mask Halloween, LED Light up Mask Purge for Festival Cosplay Halloween Costume Masquerade Parties (Blue)"	ZH-PTO_06ZD3L3V	B07VJNQV4T		Cancelled	0										SOUTHPORT	FL	32409-1314	US				
114-5685009-7218618	114-5685009-7218618	2019-10-26T00:41:44+00:00	2019-10-26T07:59:49+00:00	Shipped	Amazon	Amazon.com			Standard	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	MX-PTO_027TPFHQ	B07KB2P633		Shipped	2	USD	37.98	2.28	6.84					6.84	LILLY	PA	15938-5510	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	Standard		
114-0665562-8585802	114-0665562-8585802	2019-10-26T00:28:03+00:00	2019-10-26T19:37:03+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.63							DANBURY	CONNECTICUT	06811-3848	US		Standard		
113-2372010-0429862	113-2372010-0429862	2019-10-26T00:20:39+00:00	2019-10-26T09:22:10+00:00	Shipped	Amazon	Amazon.com			Expedited	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	MX-PTO_027TPFHQ	B07KB2P633		Shipped	1	USD	18.99	1.14							GREENSBURG	PA	15601	US		Standard		
112-1112029-2738644	112-1112029-2738644	2019-10-26T00:09:36+00:00	2019-10-27T12:21:57+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Money Maze Puzzle Box, Puzzle Money Holder Gift Box for Kids and Adults, Unique Way to Give Birthday or Christmas Gag Gifts (3 Pack)"	MX-PTO_027T991Q	B07DC2TGB2		Shipped	1	USD	21.99	1.21							BERWICK	ME	03901-2411	US		Standard		
112-3261488-1089053	112-3261488-1089053	2019-10-25T23:55:35+00:00	2019-10-26T21:08:25+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Kids Microphone Toy, Voice Changing and Recording Microphone with Colorful Light Musical Toys (Green)"	MX-326-TO21220E4447-FBA	B01N76O2E9		Shipped	1	USD	12.99	0.78							FALMOUTH	KY	41040-8767	US		Standard		
113-3181560-5083423	113-3181560-5083423	2019-10-25T23:30:19+00:00	2019-10-27T23:31:34+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.91							OAKLAND	CA	94610-2649	US		Standard		
112-5159921-5939458	112-5159921-5939458	2019-10-25T23:16:31+00:00	2019-10-27T09:33:09+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax 4 Pcs Children Wooden Jigsaw Pegged Puzzle Board Toy Educational and Learning Puzzles Toy - Number, Vegetable, Village and Animal"	MX-320-TO2122H334M1-FBA	B01N1EJHPZ		Shipped	1	USD	15.99								Kansas city	MO	64068	US		Standard		
113-6304436-0201054	113-6304436-0201054	2019-10-25T22:52:23+00:00	2019-10-26T07:07:28+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax 3 Pack Water Guns, Super Soaker Water Blaster Squirt Guns, Party Favor Toy for Kids and Adults"	SZL-PTO_050SHFJO	B07QCSGQPV		Shipped	1	USD	12.99	1.12	0.6					0.6	PHOENIX	AZ	85016-5814	US		Standard		
111-5500154-7646621	111-5500154-7646621	2019-10-25T22:09:27+00:00	2019-10-26T07:34:58+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.82							SAN ANTONIO	TX	78252	US		Standard		
111-6910280-2417064	111-6910280-2417064	2019-10-25T21:55:05+00:00	2019-10-26T07:17:54+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.52							WARRENTON	VA	20186-7474	US		Standard		
112-9895890-7513822	112-9895890-7513822	2019-10-25T21:21:15+00:00	2019-10-27T04:22:54+00:00	Pending	Amazon	Amazon.com			Expedited	"ThinkMax Inflatable Bubble Bumper Soccer Ball for Kids and Adults, Giant Human Hamster Zorb Ball (Red, 4 FT)"	MXC_PTO_07NVF3H8	B07WJ3WZ95		Shipping	2	USD	219.98	8.77							CLOVIS	CA	93619-8766	US		Standard		
112-4810489-1308251	112-4810489-1308251	2019-10-25T21:17:09+00:00	2019-10-25T21:17:13+00:00	Pending	Amazon	Amazon.com			Standard	"ThinkMax Money Maze Puzzle Box, Puzzle Money Holder Gift Box for Kids and Adults, Unique Way to Give Birthday or Christmas Gag Gifts (3 Pack)"	MX-PTO_027T991Q	B07DC2TGB2		Unshipped	2	USD	43.98								FRIONA	TX	79035-1323	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	Standard		
111-2188960-3161860	111-2188960-3161860	2019-10-25T21:10:00+00:00	2019-10-26T07:34:56+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88								GREENVILLE	NC	27858-6035	US		Standard		
111-2034012-8819456	111-2034012-8819456	2019-10-25T21:06:40+00:00	2019-10-26T12:46:19+00:00	Shipped	Amazon	Amazon.com			Expedited	ThinkMax Money Maze Puzzle Box for Kids and Adults - Unique Way to Give Gifts for People You Love - Fun and Inexpensive Game Challenge for Children Bi	MX-PTO_027TPFHQ	B07KB2P633		Shipped	1	USD	18.99	1.75							MARICOPA	AZ	85138-3218	US		Standard		
111-8955301-0541026	111-8955301-0541026	2019-10-25T21:04:09+00:00	2019-10-26T01:18:34+00:00	Shipped	Amazon	Amazon.com			Expedited	"ThinkMax Face Paint Crayons for Kids, 32 Colors Body & Face Painting Kit, Safe for Sensitive Skin, Great for Halloween, Birthday, School Party"	ZH-PTO_073ZPVL2	B07W3M4VGS		Shipped	1	USD	9.88	0.86							Santa Barbara	CA	93109-2121	US		Standard		
